STOCK,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,WEEKLY_RETURNS_%,MA_4W,RSI
BEL,2024-04-28,240.15,240.2,230.75,234.1,69340000.0,-2.0297133291483527,234.96249999999998,67.71747805267358
BEL,2024-05-05,235.1,238.2,223.15,227.1,131500000.0,-2.990175138829565,233.36249999999998,66.7059748427673
BEL,2024-05-12,228.4,249.65,221,248.2,226900000.0,9.291061206516948,237.08749999999998,73.39799099411154
BEL,2024-05-19,251.5,299.9,250.05,297.2,370700000.0,19.742143432715544,251.64999999999998,79.32148626817448
BEL,2024-05-26,301.75,303.2,285,295.95,209600000.0,-0.42059219380887747,267.1125,76.66960870844366
BEL,2024-06-02,323,323,230,283.2,684410000.0,-4.308160162189556,281.1375,71.27192982456141
BEL,2024-06-09,288.9,310.5,281.1,309.6,225500000.0,9.322033898305104,296.48749999999995,73.69477911646587
BEL,2024-06-16,313,321,302.25,304.95,200680000.0,-1.5019379844961378,298.425,82.70422535211267
BEL,2024-06-23,304.8,314.95,297.45,305.9,156760000.0,0.31152647975076775,300.91249999999997,81.91990577149588
BEL,2024-06-30,310.95,326.8,303,324.05,207110000.0,5.933311539718877,311.125,83.31068225061158
BEL,2024-07-07,328.45,340.5,324.15,333.1,226430000.0,2.792778892146286,317.0,81.94117647058823
BEL,2024-07-14,336,336.05,305,306.3,139970000.0,-8.045631942359655,317.3375,69.38232161874333
BEL,2024-07-21,306,317,281.1,309.9,192330000.0,1.1753183153770719,318.33750000000003,70.03138075313805
BEL,2024-07-28,312.8,326.55,301.7,302.95,172510000.0,-2.2426589222329762,313.0625,66.62337662337663
BEL,2024-08-04,289.85,305,285,302.2,149280000.0,-0.24756560488529145,305.3375,68.0732484076433
BEL,2024-08-11,299,303.9,290.65,303.3,68100000.0,0.36399735274652567,304.5875,70.87671232876711
BEL,2024-08-18,304.8,309.2,297.8,306,73250000.0,0.8902077151335286,303.61249999999995,67.61121267519805
BEL,2024-08-25,308.7,308.9,292.1,299.3,94030000.0,-2.189542483660123,302.7,50.86206896551725
BEL,2024-09-01,301.95,301.95,282.05,283.6,100030000.0,-5.245573003675242,298.05,45.46788990825689
BEL,2024-09-08,282,294,275.75,289.95,99240000.0,2.23906911142453,294.7125,52.599152868694645
BEL,2024-09-15,290.9,292.2,267.1,277.35,118640000.0,-4.3455768235902585,287.55,36.105127100387755
BEL,2024-09-22,280,295,278.65,293.45,290990000.0,5.804939606994752,286.08750000000003,45.49019607843137
BEL,2024-09-29,293.45,294.6,273.55,277.2,91350000.0,-5.537570284545923,284.48749999999995,39.950980392156865
BEL,2024-10-06,277.4,289.6,265,285.9,98710000.0,3.1385281385281294,283.475,35.69553805774275
BEL,2024-10-13,286.1,291.05,277.8,287.15,59710000.0,0.43721580972369,285.92499999999995,31.700517722023065
BEL,2024-10-20,286.3,287.45,257.45,272.35,88250000.0,-5.15410064426256,280.65,35.05063848524877
BEL,2024-10-27,276.7,294.75,267.4,288.65,123520000.0,5.984945841747735,283.5125,41.58415841584157
BEL,2024-11-03,289,304.5,277.15,297.75,134020000.00000001,3.152606963450544,286.475,47.97507788161994
BEL,2024-11-10,297.5,303.8,275.5,280.95,74990000.0,-5.642317380352646,284.925,42.64451367255104
BEL,2024-11-17,283,286.7,270.25,280.85,54290000.0,-0.03559352197898269,287.05,42.17497385848726
BEL,2024-11-24,290,310.6,287.95,308,167190000.0,9.667082072280575,291.8875,50.59559261465158
BEL,2024-12-01,307.8,320.85,303.3,313.75,104670000.0,1.8668831168831224,295.8875,54.327643006888295
BEL,2024-12-08,313.6,318.3,308.15,315.65,63460000.0,0.6055776892430309,304.5625,60.4635977799543
BEL,2024-12-15,315.8,318.65,289.35,290.85,73510000.0,-7.856803421511149,307.0625,50.262237762237774
BEL,2024-12-22,294,297.35,288,292.05,39550000.0,0.41258380608559797,303.07500000000005,54.58801498127341
BEL,2024-12-29,292.05,297.8,282.85,291.95,70090000.0,-0.03424071220682334,297.625,49.47988904299584
BEL,2025-01-05,292.55,292.55,270,271,64920000.0,-7.175886281897581,286.4625,47.91806581598389
BEL,2025-01-12,265,283.9,258.3,282.15,79720000.0,4.114391143911433,284.2875,48.7611496531219
BEL,2025-01-19,283.2,287.8,266.3,270.15,66920000.0,-4.25305688463583,278.8125,44.75632325724861
